Entrez Gene ID,Symbol
11057,ABHD2
171586,ABHD3
63874,ABHD4
51099,ABHD5
57406,ABHD6
79575,ABHD8
55347,ABHD10
83451,ABHD11
171022,ABHD11-AS1
26090,ABHD12
145447,ABHD12B
84945,ABHD13
25864,ABHD14A
100526760,ABHD14A-ACY1
84836,ABHD14B
116236,ABHD15
104355133,ABHD15-AS1
7920,ABHD16A
140701,ABHD16B
81926,ABHD17A
728917,ABHD17AP1
648359,ABHD17AP3
729495,ABHD17AP4
91219,ABHD17AP5
644988,ABHD17AP6
100133212,ABHD17AP7
647144,ABHD17AP8
100132251,ABHD17AP9
51104,ABHD17B
58489,ABHD17C
80167,ABHD18
10006,ABI1
326268,ABI1P1
10152,ABI2
51225,ABI3
25890,ABI3BP
54942,ABITRAM
390403,ABITRAMP1
25,ABL1
27,ABL2
3983,ABLIM1
84448,ABLIM2
22885,ABLIM3
28,ABO
29,ABR
137735,ABRA
58527,ABRACL
84142,ABRAXAS1
23172,ABRAXAS2
29777,ABT1
100420695,ABT1P1
80325,ABTB1
25841,ABTB2
30,ACAA1
10449,ACAA2
31,ACACA
32,ACACB
27034,ACAD8
28976,ACAD9
80724,ACAD10
84129,ACAD11
33,ACADL
34,ACADM
35,ACADS
36,ACADSB
37,ACADVL
176,ACAN
9744,ACAP1
23527,ACAP2
100874306,ACAP2-IT1
116983,ACAP3
38,ACAT1
39,ACAT2
64746,ACBD3
107985353,ACBD3-AS1
79777,ACBD4
91452,ACBD5
84320,ACBD6
414149,ACBD7
84680,ACCS
390110,ACCSL
65057,ACD
1636,ACE
59272,ACE2
100129123,ACE3P
125981,ACER1
340485,ACER2
645978,ACER2P1
55331,ACER3
43,ACHE
22985,ACIN1
2532,ACKR1
1238,ACKR2
57007,ACKR3
51554,ACKR4
285737,ACKR4P1
47,ACLY
130013,ACMSD
347275,ACNATP
48,ACO1
50,ACO2
730249,ACOD1
641371,ACOT1
10965,ACOT2
122970,ACOT4
641372,ACOT6
11332,ACOT7
10005,ACOT8
23597,ACOT9
26027,ACOT11
134526,ACOT12
55856,ACOT13
51,ACOX1
8309,ACOX2
8310,ACOX3
55289,ACOXL
400997,ACOXL-AS1
52,ACP1
53,ACP2
55,ACP3
93650,ACP4
54,ACP5
51205,ACP6
390928,ACP7
49,ACR
84519,ACRBP
645529,ACRP1
56,ACRV1
23205,ACSBG1
81616,ACSBG2
80221,ACSF2
197322,ACSF3
2180,ACSL1
2181,ACSL3
105373904,ACSL3-AS1
2182,ACSL4
51703,ACSL5
23305,ACSL6
101927693,ACSL6-AS1
116285,ACSM1
123876,ACSM2A
348158,ACSM2B
6296,ACSM3
341392,ACSM4
54988,ACSM5
100421779,ACSM5P1
142827,ACSM6
84532,ACSS1
55902,ACSS2
79611,ACSS3
58,ACTA1
59,ACTA2
100132116,ACTA2-AS1
60,ACTB
345651,ACTBL2
643309,ACTBP1
62,ACTBP2
63,ACTBP3
64,ACTBP4
66,ACTBP6
67,ACTBP7
68,ACTBP8
69,ACTBP9
446207,ACTBP10
644220,ACTBP11
100462767,ACTBP12
389120,ACTBP13
389976,ACTBP14
70,ACTC1
399923,ACTE1P
71,ACTG1
73,ACTG1P1
74,ACTG1P2
75,ACTG1P3
648740,ACTG1P4
78,ACTG1P6
79,ACTG1P7
80,ACTG1P8
82,ACTG1P9
83,ACTG1P10
414754,ACTG1P11
100418921,ACTG1P12
100418920,ACTG1P13
100418910,ACTG1P14
100418951,ACTG1P15
100418960,ACTG1P16
283693,ACTG1P17
100418924,ACTG1P18
644160,ACTG1P19
644961,ACTG1P20
100131291,ACTG1P21
100131953,ACTG1P22
442097,ACTG1P23
441783,ACTG1P24
72,ACTG2
86,ACTL6A
51412,ACTL6B
10881,ACTL7A
10880,ACTL7B
81569,ACTL8
284382,ACTL9
170487,ACTL10
87,ACTN1
161159,ACTN1-AS1
88,ACTN2
89,ACTN3
81,ACTN4
344978,ACTN4P1
391026,ACTN4P2
106480335,ACTP1
10121,ACTR1A
100287074,ACTR1AP1
10120,ACTR1B
10097,ACTR2
10096,ACTR3
101060091,ACTR3-AS1
57180,ACTR3B
643050,ACTR3BP1
440888,ACTR3BP2
647156,ACTR3BP3
777774,ACTR3BP4
399746,ACTR3BP5
644773,ACTR3BP6
653857,ACTR3C
100288580,ACTR3P1
100129013,ACTR3P2
100128020,ACTR3P3
79913,ACTR5
64431,ACTR6
100421495,ACTR6P1
93973,ACTR8
55860,ACTR10
139741,ACTRT1
140625,ACTRT2
84517,ACTRT3
90,ACVR1
91,ACVR1B
130399,ACVR1C
92,ACVR2A
93,ACVR2B
100128640,ACVR2B-AS1
94,ACVRL1
95,ACY1
91703,ACY3
97,ACYP1
98,ACYP2
100,ADA
51816,ADA2
132612,ADAD1
100422386,ADAD1P1
100422407,ADAD1P2
161931,ADAD2
161823,ADAL
8759,ADAM1A
100420505,ADAM1B
2515,ADAM2
1587,ADAM3A
1596,ADAM3B
255926,ADAM5
8755,ADAM6
8756,ADAM7
101,ADAM8
8754,ADAM9
102,ADAM10
4185,ADAM11
8038,ADAM12
8751,ADAM15
6868,ADAM17
8749,ADAM18
8728,ADAM19
8748,ADAM20
317760,ADAM20P1
100533671,ADAM20P2
644325,ADAM20P3
8747,ADAM21
145241,ADAM21P1
53616,ADAM22
8745,ADAM23
646479,ADAM24P
10863,ADAM28
11086,ADAM29
11085,ADAM30
203102,ADAM32
80332,ADAM33
27299,ADAMDEC1
9510,ADAMTS1
9509,ADAMTS2
9508,ADAMTS3
9507,ADAMTS4
11096,ADAMTS5
11174,ADAMTS6
11173,ADAMTS7
390660,ADAMTS7P1
400406,ADAMTS7P3
642935,ADAMTS7P4
11095,ADAMTS8
56999,ADAMTS9
101929335,ADAMTS9-AS1
100507098,ADAMTS9-AS2
81794,ADAMTS10
81792,ADAMTS12
11093,ADAMTS13
140766,ADAMTS14
170689,ADAMTS15
170690,ADAMTS16
170691,ADAMTS17
170692,ADAMTS18
171019,ADAMTS19
103689846,ADAMTS19-AS1
80070,ADAMTS20
92949,ADAMTSL1
9719,ADAMTSL2
57188,ADAMTSL3
54507,ADAMTSL4
574406,ADAMTSL4-AS1
100289061,ADAMTSL4-AS2
339366,ADAMTSL5
11033,ADAP1
55803,ADAP2
103,ADAR
104,ADARB1
105,ADARB2
642394,ADARB2-AS1
23536,ADAT1
134637,ADAT2
113179,ADAT3
57143,ADCK1
90956,ADCK2
203054,ADCK5
106,ADCP1
107,ADCY1
108,ADCY2
109,ADCY3
196883,ADCY4
111,ADCY5
112,ADCY6
100506125,ADCY6-DT
113,ADCY7
114,ADCY8
115,ADCY9
55811,ADCY10
221442,ADCY10P1
116,ADCYAP1
117,ADCYAP1R1
118,ADD1
119,ADD2
120,ADD3
100505933,ADD3-AS1
79747,ADGB
84435,ADGRA1
100128127,ADGRA1-AS1
25960,ADGRA2
166647,ADGRA3
575,ADGRB1
576,ADGRB2
577,ADGRB3
283383,ADGRD1
105755954,ADGRD1-AS1
347088,ADGRD2
2015,ADGRE1
30817,ADGRE2
84658,ADGRE3
326342,ADGRE4P
976,ADGRE5
266977,ADGRF1
222611,ADGRF2
165082,ADGRF3
221393,ADGRF4
221395,ADGRF5
101926962,ADGRF5-AS1
389740,ADGRF5P1
441416,ADGRF5P2
9289,ADGRG1
10149,ADGRG2
222487,ADGRG3
139378,ADGRG4
221188,ADGRG5
57211,ADGRG6
84873,ADGRG7
22859,ADGRL1
23266,ADGRL2
23284,ADGRL3
101927186,ADGRL3-AS1
64123,ADGRL4
84059,ADGRV1
124,ADH1A
125,ADH1B
126,ADH1C
127,ADH4
128,ADH5
343296,ADH5P2
100131810,ADH5P3
642443,ADH5P4
115945146,ADH5P5
130,ADH6
131,ADH7
137872,ADHFE1
55256,ADI1
100130936,ADI1P1
100288971,ADI1P2
100288129,ADI1P3
149685,ADIG
9370,ADIPOQ
100874095,ADIPOQ-AS1
51094,ADIPOR1
645220,ADIPOR1P1
390503,ADIPOR1P2
79602,ADIPOR2
10974,ADIRF
100133190,ADIRF-AS1
132,ADK
133,ADM
79924,ADM2
199800,ADM5
23394,ADNP
101927631,ADNP-AS1
22850,ADNP2
84890,ADO
134,ADORA1
135,ADORA2A
646023,ADORA2A-AS1
136,ADORA2B
137,ADORA2BP1
140,ADORA3
83440,ADPGK
100287559,ADPGK-AS1
141,ADPRH
113622,ADPRHL1
56985,ADPRM
54936,ADPRS
148,ADRA1A
147,ADRA1B
146,ADRA1D
150,ADRA2A
151,ADRA2B
152,ADRA2C
153,ADRB1
154,ADRB2
155,ADRB3
11047,ADRM1
158,ADSL
122622,ADSS1
159,ADSS2
84830,ADTRP
165,AEBP1
121536,AEBP2
64782,AEN
60312,AFAP1
84740,AFAP1-AS1
134265,AFAP1L1
84632,AFAP1L2
4301,AFDN
653483,AFDN-DT
4299,AFF1
100506746,AFF1-AS1
2334,AFF2
100874269,AFF2-IT1
3899,AFF3
27125,AFF4
246269,AFG1L
172,AFG3L1P
10939,AFG3L2
347028,AFG3L2P1
173,AFM
125061,AFMID
174,AFP
54812,AFTPH
175,AGA
116987,AGAP1
100506749,AGAP1-IT1
116986,AGAP2
100130776,AGAP2-AS1
116988,AGAP3
119016,AGAP4
729092,AGAP5
414189,AGAP6
653268,AGAP7P
642517,AGAP9
653234,AGAP10P
119385,AGAP11
414224,AGAP12P
728005,AGAP13P
653259,AGAP14P
123624,AGBL1
727915,AGBL1-AS1
79841,AGBL2
340351,AGBL3
84871,AGBL4
101929721,AGBL4-AS1
100874313,AGBL4-IT1
60509,AGBL5
100874031,AGBL5-AS1
106481744,AGBL5-IT1
177,AGER
3267,AGFG1
3268,AGFG2
55109,AGGF1
100132380,AGGF1P1
644435,AGGF1P2
391552,AGGF1P3
100129351,AGGF1P4
100128103,AGGF1P5
106481737,AGGF1P6
100132606,AGGF1P7
100128804,AGGF1P8
100127958,AGGF1P9
100288774,AGGF1P10
55750,AGK
359793,AGKP1
178,AGL
79814,AGMAT
392636,AGMO
26523,AGO1
27161,AGO2
192669,AGO3
192670,AGO4
10554,AGPAT1
10555,AGPAT2
56894,AGPAT3
56895,AGPAT4
79992,AGPAT4-IT1
55326,AGPAT5
646231,AGPAT5P1
8540,AGPS
10551,AGR2
155465,AGR3
375790,AGRN
181,AGRP
183,AGT
23287,AGTPBP1
185,AGTR1
186,AGTR2
57085,AGTRAP
189,AGXT
64902,AGXT2
25909,AHCTF1
285116,AHCTF1P1
191,AHCY
10768,AHCYL1
23382,AHCYL2
340844,AHCYP1
392387,AHCYP2
402093,AHCYP3
129560,AHCYP4
391470,AHCYP5
100419714,AHCYP6
645486,AHCYP7
107063538,AHCYP8
27245,AHDC1
54806,AHI1
79026,AHNAK
113146,AHNAK2
196,AHR
57491,AHRR
10598,AHSA1
130872,AHSA2P
197,AHSG
51327,AHSP
57379,AICDA
64853,AIDA
646050,AIDAP1
646890,AIDAP2
100128360,AIDAP3
199,AIF1
83543,AIF1L
9131,AIFM1
645120,AIFM1P1
84883,AIFM2
150209,AIFM3
51390,AIG1
106479028,AIG1P1
9447,AIM2
9255,AIMP1
170547,AIMP1P1
100873064,AIMP1P2
7965,AIMP2
9049,AIP
23746,AIPL1
326,AIRE
100271873,AIRN
55966,AJAP1
389813,AJM1
84962,AJUBA
203,AK1
204,AK2
266920,AK2P1
339736,AK2P2
50808,AK3
100419074,AK3P2
100419075,AK3P3
100129959,AK3P4
100288319,AK3P5
100873789,AK3P6
205,AK4
206,AK4P1
100132104,AK4P2
645619,AK4P3
100128705,AK4P4
100526416,AK4P5
649288,AK4P6
26289,AK5
102157402,AK6
100132086,AK6P1
100128817,AK6P2
122481,AK7
158067,AK8
221264,AK9
642597,AKAIN1
8165,AKAP1
10566,AKAP3
8852,AKAP4
9495,AKAP5
9472,AKAP6
9465,AKAP7
10270,AKAP8
26993,AKAP8L
646114,AKAP8P1
10142,AKAP9
11216,AKAP10
11215,AKAP11
9590,AKAP12
11214,AKAP13
158798,AKAP14
8227,AKAP17A
139516,AKAP17BP
56672,AKIP1
79647,AKIRIN1
100418731,AKIRIN1P1
106480306,AKIRIN1P2
55122,AKIRIN2
100216487,AKIRIN2P1
80709,AKNA
254268,AKNAD1
10327,AKR1A1
231,AKR1B1
401982,AKR1B1P1
236,AKR1B1P2
729347,AKR1B1P3
390402,AKR1B1P4
390482,AKR1B1P5
100129769,AKR1B1P6
126242,AKR1B1P7
392525,AKR1B1P8
57016,AKR1B10
340888,AKR1B10P1
643582,AKR1B10P2
441282,AKR1B15
1645,AKR1C1
1646,AKR1C2
8644,AKR1C3
1109,AKR1C4
100996684,AKR1C5P
389932,AKR1C6P
648947,AKR1C7P
340811,AKR1C8P
6718,AKR1D1
80701,AKR1D1P1
83592,AKR1E2
8574,AKR7A2
246182,AKR7A2P1
22977,AKR7A3
246181,AKR7L
207,AKT1
84335,AKT1S1
208,AKT2
10000,AKT3
100874263,AKT3-IT1
64400,AKTIP
210,ALAD
211,ALAS1
212,ALAS2
213,ALB
214,ALCAM
216,ALDH1A1
8854,ALDH1A2
220,ALDH1A3
219,ALDH1B1
10840,ALDH1L1
100874204,ALDH1L1-AS1
100862662,ALDH1L1-AS2
160428,ALDH1L2
217,ALDH2
218,ALDH3A1
224,ALDH3A2
221,ALDH3B1
222,ALDH3B2
8659,ALDH4A1
7915,ALDH5A1
4329,ALDH6A1
501,ALDH7A1
541,ALDH7A1P1
542,ALDH7A1P2
543,ALDH7A1P3
544,ALDH7A1P4
64577,ALDH8A1
223,ALDH9A1
126133,ALDH16A1
5832,ALDH18A1
226,ALDOA
391538,ALDOAP1
228,ALDOAP2
229,ALDOB
230,ALDOC
56052,ALG1
200810,ALG1L
644974,ALG1L2
100132066,ALG1L3P
647415,ALG1L5P
339879,ALG1L6P
728263,ALG1L7P
645015,ALG1L8P
285407,ALG1L9P
106479037,ALG1L10P
106480789,ALG1L11P
100421097,ALG1L12P
106479038,ALG1L13P
100996649,ALG1L14P
730086,ALG1L15P
85365,ALG2
10195,ALG3
442131,ALG3P1
29880,ALG5
29929,ALG6
79053,ALG8
79796,ALG9
100874303,ALG9-IT1
84920,ALG10
144245,ALG10B
440138,ALG11
79087,ALG12
79868,ALG13
106478971,ALG13-AS1
199857,ALG14
101928098,ALG14-AS1
238,ALK
389658,ALKAL1
285016,ALKAL2
8846,ALKBH1
121642,ALKBH2
221120,ALKBH3
100507300,ALKBH3-AS1
54784,ALKBH4
54890,ALKBH5
84964,ALKBH6
84266,ALKBH7
91801,ALKBH8
55821,ALLC
7840,ALMS1
100874291,ALMS1-IT1
200420,ALMS1P1
240,ALOX5
241,ALOX5AP
239,ALOX12
100506713,ALOX12-AS1
242,ALOX12B
243,ALOX12P1
245,ALOX12P2
246,ALOX15
247,ALOX15B
100652883,ALOX15P1
642959,ALOX15P2
59344,ALOXE3
100420216,ALOXE3P1
251,ALPG
248,ALPI
80216,ALPK1
115701,ALPK2
57538,ALPK3
249,ALPL
250,ALPP
260330,ALPPP
57679,ALS2
259173,ALS2CL
8092,ALX1
257,ALX3
60529,ALX4
10189,ALYREF
23600,AMACR
258,AMBN
259,AMBP
55626,AMBRA1
262,AMD1
100133024,AMD1P1
263,AMD1P2
728931,AMD1P3
100129761,AMD1P4
144193,AMDHD1
51005,AMDHD2
265,AMELX
266,AMELY
139285,AMER1
219287,AMER2
205147,AMER3
267,AMFR
268,AMH
269,AMHR2
57463,AMIGO1
347902,AMIGO2
386724,AMIGO3
9163,AMLCR2
9949,AMMECR1
100874352,AMMECR1-IT1
83607,AMMECR1L
100420921,AMMECR1LP1
81693,AMN
196394,AMN1
154796,AMOT
154810,AMOTL1
51421,AMOTL2
270,AMPD1
271,AMPD2
272,AMPD3
273,AMPH
275,AMT
401138,AMTN
276,AMY1A
277,AMY1B
278,AMY1C
279,AMY2A
280,AMY2B
281,AMYP1
155185,AMZ1
51321,AMZ2
201283,AMZ2P1
100421018,AMZ2P2
64682,ANAPC1
100286979,ANAPC1P1
285074,ANAPC1P2
100420889,ANAPC1P3
730268,ANAPC1P4
100420890,ANAPC1P5
402096,ANAPC1P6
29882,ANAPC2
29945,ANAPC4
51433,ANAPC5
51434,ANAPC7
10393,ANAPC10
729198,ANAPC10P1
51529,ANAPC11
25847,ANAPC13
25906,ANAPC15
119504,ANAPC16
282,ANCR
283,ANG
23357,ANGEL1
90806,ANGEL2
284,ANGPT1
285,ANGPT2
51378,ANGPT4
9068,ANGPTL1
23452,ANGPTL2
27329,ANGPTL3
51129,ANGPTL4
253935,ANGPTL5
83854,ANGPTL6
10218,ANGPTL7
55908,ANGPTL8
647589,ANHX
286,ANK1
287,ANK2
105377373,ANK2-AS1
288,ANK3
105378320,ANK3-DT
150709,ANKAR
348094,ANKDD1A
728780,ANKDD1B
63926,ANKEF1
162282,ANKFN1
51479,ANKFY1
56172,ANKH
54882,ANKHD1
404734,ANKHD1-EIF4EBP3
54467,ANKIB1
255239,ANKK1
126549,ANKLE1
23141,ANKLE2
51281,ANKMY1
57037,ANKMY2
57763,ANKRA2
27063,ANKRD1
26287,ANKRD2
22881,ANKRD6
56311,ANKRD7
122416,ANKRD9
55608,ANKRD10
100505494,ANKRD10-IT1
29123,ANKRD11
100287912,ANKRD11P1
100419906,ANKRD11P2
23253,ANKRD12
88455,ANKRD13A
124930,ANKRD13B
81573,ANKRD13C
338692,ANKRD13D
54522,ANKRD16
26057,ANKRD17
253650,ANKRD18A
441459,ANKRD18B
101926917,ANKRD18CP
348840,ANKRD18DP
100131031,ANKRD18EP
138649,ANKRD19P
84210,ANKRD20A1
441430,ANKRD20A2P
441425,ANKRD20A3P
728747,ANKRD20A4P
440482,ANKRD20A5P
728157,ANKRD20A6P
653436,ANKRD20A7P
729171,ANKRD20A8P
284232,ANKRD20A9P
100421422,ANKRD20A10P
391267,ANKRD20A11P
100874392,ANKRD20A12P
100132733,ANKRD20A13P
100533719,ANKRD20A14P
100533720,ANKRD20A15P
100421427,ANKRD20A16P
100421363,ANKRD20A17P
391269,ANKRD20A18P
400110,ANKRD20A19P
728788,ANKRD20A20P
102723552,ANKRD20A21P
118932,ANKRD22
200539,ANKRD23
170961,ANKRD24
22852,ANKRD26
124149,ANKRD26P1
646929,ANKRD26P2
100101938,ANKRD26P3
100873882,ANKRD26P4
84079,ANKRD27
23243,ANKRD28
147463,ANKRD29
91074,ANKRD30A
374860,ANKRD30B
554226,ANKRD30BL
642460,ANKRD30BP1
149992,ANKRD30BP2
338579,ANKRD30BP3
256006,ANKRD31
341405,ANKRD33
651746,ANKRD33B
100874247,ANKRD33B-AS1
284615,ANKRD34A
340120,ANKRD34B
390616,ANKRD34C
729911,ANKRD34C-AS1
148741,ANKRD35
375248,ANKRD36
57730,ANKRD36B
84832,ANKRD36BP1
645784,ANKRD36BP2
400986,ANKRD36C
100132420,ANKRD36P1
353322,ANKRD37
51239,ANKRD39
91369,ANKRD40
55018,ANKRD40CL
338699,ANKRD42
91526,ANKRD44
101927596,ANKRD44-AS1
101927547,ANKRD44-IT1
339416,ANKRD45
157567,ANKRD46
54851,ANKRD49
100419814,ANKRD49P1
116435289,ANKRD49P2
391834,ANKRD49P3
100130680,ANKRD49P4
57182,ANKRD50
283373,ANKRD52
79998,ANKRD53
129138,ANKRD54
100419962,ANKRD54P1
79722,ANKRD55
140731,ANKRD60
100310846,ANKRD61
342850,ANKRD62
107080639,ANKRD62P1
23783,ANKRD62P1-PARP4P3
100131244,ANKRD63
441869,ANKRD65
100287718,ANKRD66
23294,ANKS1A
56899,ANKS1B
124401,ANKS3
257629,ANKS4B
203286,ANKS6
389161,ANKUB1
55139,ANKZF1
54443,ANLN
55107,ANO1
100873981,ANO1-AS1
57101,ANO2
63982,ANO3
105376599,ANO3-AS1
121601,ANO4
203859,ANO5
196527,ANO6
50636,ANO7
101927546,ANO7L1
57719,ANO8
338440,ANO9
55129,ANO10
3730,ANOS1
3734,ANOS2P
8125,ANP32A
80035,ANP32A-IT1
723972,ANP32AP1
10541,ANP32B
646791,ANP32BP1
100130708,ANP32BP2
100652899,ANP32BP3
23520,ANP32C
23519,ANP32D
81611,ANP32E
290,ANPEP
65990,ANTKMT
84168,ANTXR1
118429,ANTXR2
195977,ANTXRL
100996567,ANTXRLP1
301,ANXA1
302,ANXA2
303,ANXA2P1
304,ANXA2P2
305,ANXA2P3
389289,ANXA2R
306,ANXA3
307,ANXA4
308,ANXA5
309,ANXA6
310,ANXA7
653145,ANXA8
728113,ANXA8L1
8416,ANXA9
11199,ANXA10
311,ANXA11
312,ANXA13
313,AOAH
100874264,AOAH-IT1
26,AOC1
314,AOC2
8639,AOC3
90586,AOC4P
84909,AOPEP
316,AOX1
344454,AOX2P
107126360,AOX3P
107161151,AOX3P-AOX2P
55435,AP1AR
162,AP1B1
23782,AP1B1P1
23781,AP1B1P2
164,AP1G1
8906,AP1G2
8907,AP1M1
10053,AP1M2
1174,AP1S1
8905,AP1S2
106480305,AP1S2P1
130340,AP1S3
160,AP2A1
161,AP2A2
163,AP2B1
1173,AP2M1
1175,AP2S1
8546,AP3B1
8120,AP3B2
8943,AP3D1
26985,AP3M1
10947,AP3M2
1176,AP3S1
10239,AP3S2
10717,AP4B1
100287722,AP4B1-AS1
23431,AP4E1
9179,AP4M1
11154,AP4S1
91056,AP5B1
55745,AP5M1
55317,AP5S1
9907,AP5Z1
317,APAF1
320,APBA1
321,APBA2
9546,APBA3
322,APBB1
54518,APBB1IP
323,APBB2
10307,APBB3
324,APC
10297,APC2
147495,APCDD1
164284,APCDD1L
149773,APCDD1L-DT
325,APCS
327,APEH
100506013,APELA
328,APEX1
27301,APEX2
51107,APH1A
83464,APH1B
8539,API5
642812,API5P1
728664,API5P2
51074,APIP
200558,APLF
8862,APLN
187,APLNR
333,APLP1
334,APLP2
57136,APMAP
335,APOA1
104326055,APOA1-AS
336,APOA2
337,APOA4
116519,APOA5
338,APOB
339,APOBEC1
10930,APOBEC2
200315,APOBEC3A
100913187,APOBEC3A_B
105377532,APOBEC3AP1
9582,APOBEC3B
100874530,APOBEC3B-AS1
27350,APOBEC3C
140564,APOBEC3D
200316,APOBEC3F
60489,APOBEC3G
164668,APOBEC3H
403314,APOBEC4
55911,APOBR
341,APOC1
342,APOC1P1
344,APOC2
345,APOC3
346,APOC4
100533990,APOC4-APOC2
347,APOD
348,APOE
319,APOF
350,APOH
8542,APOL1
23780,APOL2
80833,APOL3
80832,APOL4
80831,APOL5
80830,APOL6
81575,APOLD1
55937,APOM
100419033,APONP
79135,APOO
139322,APOOL
100286948,APOOP1
100129005,APOOP2
100131528,APOOP3
100128725,APOOP4
644649,APOOP5
351,APP
10513,APPBP2
26060,APPL1
55198,APPL2
353,APRT
100505854,APTR
54840,APTX
358,AQP1
359,AQP2
360,AQP3
361,AQP4
147429,AQP4-AS1
362,AQP5
363,AQP6
364,AQP7
375719,AQP7P1
389756,AQP7P2
441432,AQP7P3
100132938,AQP7P4
102724655,AQP7P5
343,AQP8
366,AQP9
89872,AQP10
282679,AQP11
375318,AQP12A
653437,AQP12B
9716,AQR
367,AR
369,ARAF
100421741,ARAFP1
644000,ARAFP2
285893,ARAFP3
116985,ARAP1
100874075,ARAP1-AS1
100506020,ARAP1-AS2
116984,ARAP2
64411,ARAP3
23237,ARC
372,ARCN1
374,AREG
9870,AREL1
375,ARF1
442334,ARF1P1
100420012,ARF1P2
442396,ARF1P3
108489980,ARF2P
377,ARF3
378,ARF4
106144532,ARF4-AS1
380,ARF4P1
170485,ARF4P2
390423,ARF4P3
100129023,ARF4P4
100316867,ARF4P5
381,ARF5
382,ARF6
55738,ARFGAP1
84364,ARFGAP2
26286,ARFGAP3
10565,ARFGEF1
10564,ARFGEF2
57221,ARFGEF3
27236,ARFIP1
23647,ARFIP2
10139,ARFRP1
383,ARG1
384,ARG2
503582,ARGFX
503583,ARGFXP1
503640,ARGFXP2
55082,ARGLU1
392,ARHGAP1
393,ARHGAP4
394,ARHGAP5
84837,ARHGAP5-AS1
395,ARHGAP6
23779,ARHGAP8
64333,ARHGAP9
79658,ARHGAP10
9824,ARHGAP11A
89839,ARHGAP11B
94134,ARHGAP12
55843,ARHGAP15
105373654,ARHGAP15-AS1
319102,ARHGAP16P
55114,ARHGAP17
93663,ARHGAP18
84986,ARHGAP19
100533184,ARHGAP19-SLIT1
57569,ARHGAP20
57584,ARHGAP21
58504,ARHGAP22
100689073,ARHGAP22-IT1
57636,ARHGAP23
102577425,ARHGAP23P1
83478,ARHGAP24
9938,ARHGAP25
23092,ARHGAP26
100874239,ARHGAP26-AS1
100874372,ARHGAP26-IT1
201176,ARHGAP27
146880,ARHGAP27P1
109286553,ARHGAP27P1-BPTFP1-KPNA2P3
440461,ARHGAP27P2
79822,ARHGAP28
9411,ARHGAP29
107985092,ARHGAP29-AS1
257106,ARHGAP30
57514,ARHGAP31
100874246,ARHGAP31-AS1
9743,ARHGAP32
115703,ARHGAP33
2909,ARHGAP35
158763,ARHGAP36
80728,ARHGAP39
343578,ARHGAP40
143872,ARHGAP42
100128386,ARHGAP42-AS1
100887075,ARHGAP42P1
100130693,ARHGAP42P2
266698,ARHGAP42P3
254398,ARHGAP42P4
100128514,ARHGAP42P5
9912,ARHGAP44
23526,ARHGAP45
396,ARHGDIA
397,ARHGDIB
398,ARHGDIG
9138,ARHGEF1
9181,ARHGEF2
107985210,ARHGEF2-AS1
50650,ARHGEF3
100874200,ARHGEF3-AS1
50649,ARHGEF4
7984,ARHGEF5
9459,ARHGEF6
8874,ARHGEF7
100874226,ARHGEF7-AS1
100874238,ARHGEF7-AS2
100874371,ARHGEF7-IT1
23229,ARHGEF9
100874355,ARHGEF9-IT1
9639,ARHGEF10
55160,ARHGEF10L
9826,ARHGEF11
23365,ARHGEF12
22899,ARHGEF15
27237,ARHGEF16
